f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,genre_label,file_path
0.08304482,0.027693784,1784.1227,360.202,2002.4124,292.9751,3805.7231,949.3434,0.13018432,0.053182516,-113.59882,121.57067,-19.162262,42.363937,-6.362266,18.621931,-13.699734,15.339802,-12.274304,10.970946,-8.326061,8.802088,-3.6699412,5.7446756,-5.162783,0.7517064,-1.6878542,-0.4087299,-2.3026767,1.2224671,50.688946,17.200205,15.348761,12.289782,12.961206,9.443115,8.22211,8.306714,9.067515,7.959054,7.859071,7.161058,6.419961,6.365338,7.0557942,7.240479,6.0444903,6.4500523,7.4198146,6.8513756,blues,genres_original\blues\blues.00000.wav
0.05603981,0.038046308,1530.2617,613.1195,2038.9875,462.49875,3550.7136,1725.7783,0.09590782,0.048710573,-207.52383,123.98514,8.947019,35.86715,2.9095943,21.519472,-8.556514,23.370676,-10.103608,11.899242,-5.558824,5.3778763,-2.2344918,4.220704,-6.0106864,0.92929417,-0.7284028,0.29687235,-0.28243044,0.53064436,88.142525,23.662489,23.923552,16.270117,16.732485,12.504672,14.170464,11.940147,12.888547,10.21554,10.254578,9.808391,8.054382,8.552802,7.240819,7.438949,7.76089,6.937811,7.148847,6.7667346,blues,genres_original\blues\blues.00001.wav
0.07629121,0.03173057,1552.8325,395.56418,1747.754,276.21625,3042.4102,885.51166,0.17547321,0.052448623,-90.757164,140.44087,-29.084547,31.686693,-13.976547,25.753752,-13.66499,11.634442,-11.778322,9.714757,-13.125314,5.791247,-8.901967,-1.0801603,-9.226244,2.4483044,-7.724839,-1.819024,-3.4404576,-2.2381277,57.6011,22.55784,20.29937,11.998093,12.476432,8.625063,10.336393,10.320866,8.09211,8.236647,7.5942063,8.030863,7.771137,7.595408,6.0427127,6.3750825,6.9014235,7.2383423,6.829597,5.5365286,blues,genres_original\blues\blues.00002.wav
0.033308864,0.020561105,1070.1534,429.37863,1596.4226,408.10764,2184.8792,1221.9156,0.14104027,0.07967184,-199.57513,150.0861,5.663404,26.855282,1.7700713,14.232647,-4.8278446,9.286853,-0.75612015,8.134435,-3.200026,6.078081,-2.478445,-1.081587,-2.874454,0.77399397,-3.3240693,0.63631064,-0.6159676,-3.405046,74.2177,21.361393,16.034643,12.584162,16.369904,11.26088,12.487864,9.015004,9.607383,8.448777,10.500921,6.9436674,7.535,7.8894234,7.183997,6.665801,7.086498,6.1094785,6.1039147,5.6537824,blues,genres_original\blues\blues.00003.wav
0.10146054,0.044205483,1835.1285,585.875,1748.4108,297.28555,3579.9575,1253.9283,0.09150122,0.048013385,-160.35417,126.20948,-35.581394,22.139256,-32.47355,10.850701,-23.35007,0.49324903,-11.796539,1.2035191,-13.084959,-2.8104992,-6.9344707,-7.5538754,-9.167669,-4.515863,-5.451786,-0.9159524,-4.4080176,-11.704385,72.10481,29.210808,18.276552,13.919527,18.341904,11.613141,9.658858,11.168416,11.400675,9.9858465,8.957854,9.297123,9.462997,8.421145,8.70369,9.273359,8.676217,7.3234715,7.929848,7.429014,blues,genres_original\blues\blues.00004.wav
0.094041534,0.07895059,1832.0116,1015.1275,1729.5808,449.27283,3481.4675,1809.5265,0.103452876,0.063096456,-177.80176,118.20316,-17.57063,30.760927,-21.742554,11.919263,-20.734299,3.1852887,-8.580818,-0.9328852,-11.772245,-2.408764,-9.348446,-9.942636,-3.9021835,-5.574562,-1.8393145,-2.7893167,-3.047805,-8.109732,85.48365,56.52615,25.575533,22.038372,20.815298,16.321997,13.027126,11.563017,13.123481,10.006048,8.7495575,8.877085,8.950292,6.8945217,7.7473025,8.519198,8.286503,6.516941,6.3089924,6.8031564,blues,genres_original\blues\blues.00005.wav
0.073052235,0.043694057,1459.4697,661.8346,1389.0685,430.29794,2795.9106,1273.3844,0.14175196,0.09371273,-190.0688,130.27023,-36.362114,33.03621,11.093892,-0.5918819,-20.890266,0.27844235,-6.496385,-5.5127354,-7.847404,-3.1243007,-6.6028214,-9.949999,-6.5426893,-10.0722275,-10.918623,-6.9652433,-3.4394317,-6.484499,98.25145,43.9739,36.152878,21.91331,32.90848,16.736532,12.315981,10.141663,11.449826,12.385571,9.3544855,8.013118,8.896452,7.939676,9.2922,9.1243925,7.5465555,6.1860404,6.940003,8.379347,blues,genres_original\blues\blues.00006.wav
0.061442245,0.042997863,1451.8594,670.52344,1577.5671,410.11902,2955.3198,1276.5411,0.13176751,0.074376956,-179.3723,136.44833,-26.662588,39.96545,5.3108935,10.919133,-20.559534,8.503361,-11.349764,-3.470555,-8.415842,-6.957211,-3.5460427,-8.051759,-8.964918,-8.427482,-10.5642805,-10.785658,-4.6954694,-8.631641,81.07715,38.458363,24.314785,18.7991,25.496855,11.674244,12.794263,12.299772,13.111818,13.350184,12.147465,9.149783,9.657396,7.577853,9.069701,8.3946085,7.212375,7.778636,8.098215,7.509124,blues,genres_original\blues\blues.00007.wav
0.06402489,0.027045919,1719.4634,404.11438,2031.8293,324.9091,3782.4412,1123.8258,0.14232728,0.038770076,-121.38979,122.49833,-14.734729,46.122135,-8.179258,20.172466,-19.171894,23.036839,-11.832729,21.154655,-6.7227974,6.989506,-12.730551,5.0585384,-5.1858068,-1.4536041,-7.042629,2.694213,3.4095309,-2.7137442,51.182755,20.360193,18.47225,13.92542,13.3069935,10.341514,7.593371,8.783775,6.524472,7.6714864,6.9941754,7.5189896,7.8707085,7.1096497,5.7468557,7.1118336,5.3766575,6.074218,5.8027234,6.028459,blues,genres_original\blues\blues.00008.wav
0.079174824,0.03711683,1817.2306,546.02325,1973.792,337.84634,3943.832,1169.0956,0.08128055,0.06592554,-213.26424,115.16476,-11.69817,39.015358,-20.348331,13.082702,-9.182701,9.017152,-14.104312,4.271254,-6.0507803,3.7858355,0.22263548,-5.106882,-0.41015333,-1.1793449,-1.914708,-2.293661,2.8842604,-4.2338786,78.3133,28.253563,25.866669,18.73323,23.065073,16.680668,11.24508,8.244039,10.492645,9.623029,9.211916,10.2183,8.737599,9.242636,10.197341,7.702169,7.6460075,9.117184,8.777371,9.562769,blues,genres_original\blues\blues.00009.wav
